icao24,typecode,icaoaircrafttype
48ac80,E295,L2J
502d7a,BCS3,L2J
4b193a,A320,L2J
4b194c,A21N,L2J
502d95,BCS3,L2J
502d88,BCS3,L2J
4b028b,E290,L2J
4b0291,E290,L2J
4b0290,E290,L2J
4b0292,E290,L2J
4b0293,E295,L2J
4b028c,E290,L2J
4b028d,E290,L2J
4864ea,E295,L2J
486482,E295,L2J
4b0294,E295,L2J
4b0295,E295,L2J
4b1818,A20N,L2J
502d7c,BCS3,L2J
39e690,BCS3,L2J
05a0a6,A319,L2J
4c01f2,A320,L2J
4bc88c,A21N,L2J
4b19fd,E190,L2J
4b19e6,E195,L2J
4b19ef,E195,L2J
4b19fc,E195,L2J
4b19ff,E195,L2J
4b19fe,E190,L2J
4b194d,A21N,L2J
4b1942,A320,L2J
502d7d,BCS3,L2J
4b3778,PC24,L2J
4b0dd0,PC12,L1T
3c75a5,E145,L2J
440c6f,A21N,L2J
4cadea,A20N,L2J
